genome_name,isolate_genus,isolate_species,strain,msk_id,Module,Description,pathway_completeness
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0001,arabinoxylan degradation,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0002,fructan degradation,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0003,pectin degradation I,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0004,pectine degradation II,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0005,starch degradation,0.6666666666666666
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0006,lactose degradation,1
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0007,lactose and galactose degradation,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0008,maltose degradation,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0009,melibiose degradation,1
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0010,sucrose degradation I,0.5
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0011,sucrose degradation II,0.5
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0012,trehalose degradation,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0013,allose degradation,0.5
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0014,arabinose degradation,1
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0015,fructose degradation,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0016,fucose degradation,0.2
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0017,galactose degradation,0.6
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0018,mannose degradation,1
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0019,rhamnose degradation,0.8
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0020,ribose degradation,0.5
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0021,xylose degradation,0
