msk.id,Acetate,Propionate,Butyrate,Succinate
DFI.6.39,3.7775,2.1975,-0.0225,3.44
DFI.1.269,3.3225,3.1075,-0.0175,2.895
DFI.2.31,3.951666667,1.751666667,-0.021666667,3.853333333
DFI.6.32,4.496666667,2.736666667,-0.011666667,1.368333333
DFI.2.11,5.5225,1.9575,-0.0325,2.85
DFI.5.4,5.9725,1.02,-0.0025,4.6925
DFI.6.22,5.5275,1.7475,-0.0225,4.215
DFI.5.5,8.4075,2.6575,0.2475,0.8
DFI.6.89,2.8425,1.8475,0.1075,0.78
DFI.3.10,1.241666667,1.411666667,-0.021666667,0.113333333
DFI.6.6,2.086666667,1.206666667,0.083333333,0.228333333
DFI.3.21,2.326666667,0.501666667,-0.016666667,1.523333333
DFI.6.12,3.3425,0.175,-0.0125,1.5725
MSK.18.73,8.345,0.603333333,-0.026666667,4.518333333
DFI.1.153,2.4,1.203333333,0.003333333,-0.406666667
DFI.5.60,3.6575,1.61,-0.0025,-0.6575
DFI.5.6,3.015,0.738333333,-0.001666667,0.893333333
MSK.16.27,7.9225,1.255,-0.0275,9.9425
DFI.5.9,5.5675,0.7,-0.0125,4.1175
DFI.6.73,4.8125,0.605,-0.0125,4.0325
DFI.5.35,11.51,4.568333333,-0.021666667,2.983333333
DFI.6.90,13.965,6.203333333,-0.021666667,5.243333333
MSK.10.5,9.15,3.573333333,-0.006666667,1.348333333
MSK.13.23,12.1725,5.455,-0.0175,5.5175
MSK.16.53,11.76,4.223333333,-0.021666667,2.753333333
MSK.22.78,12.155,5.433333333,-0.006666667,2.793333333
MSK.7.6,11.61,5.218333333,-0.021666667,3.633333333
DFI.6.36,4.991666667,1.721666667,-0.016666667,-0.321666667
DFI.5.8,7.345,0.878333333,-0.016666667,4.773333333
DFI.9.47,9.026666667,0.761666667,-0.031666667,8.353333333
MSK.16.13,6.0275,2.075,-0.0175,4.3125
MSK.17.76,5.1325,0.495,-0.0275,4.1825
MSK.18.83,4.99,0.318333333,-0.006666667,3.168333333
MSK.22.29,3.9175,0.39,-0.0175,3.4975
DFI.4.65,4.2175,0.515,-0.0125,3.0625
MSK.14.55,11.0425,4.7,-0.0225,6.6175
