msk_id,genome,phylum,class,order,family,genus,species,strain,bp,GC,fn,type,label
Alistipes_communis,Alistipes communis 5CBH24,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes communis,5CBH24,3301347,58.5,Alistipes_communis_5CBH24,Type Strain,5CBH24
Alistipes_finegoldii,Alistipes finegoldii DSM17242,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii,DSM17242,3734239,56.6,Alistipes_finegoldii_DSM17242,Type Strain,DSM17242
Alistipes_onderdonkii,Alistipes onderdonkii WAL8169,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes onderdonkii,WAL8169,3865648,57.8,Alistipes_onderdonkii_WAL8169,Type Strain,WAL8169
Alistipes_putredinis,Alistipes putredinis DSM17216,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,DSM17216,2550678,53.3,Alistipes_putredinis_DSM17216,Type Strain,DSM17216
Alistipes_shahii,Alistipes shahii WAL8301,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,WAL8301,3763317,55.8,Alistipes_shahii_WAL8301,Type Strain,WAL8301
Bacteroides_caccae,Bacteroides caccae ATCC43185,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae,ATCC43185,4570803,41.9,Bacteroides_caccae_ATCC43185,Type Strain,ATCC43185
Bacteroides_cellulosilyticus,Bacteroides cellulosilyticus DSM14838,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides cellulosilyticus,DSM14838,6870144,41.8,Bacteroides_cellulosilyticus_DSM14838,Type Strain,DSM14838
Bacteroides_eggerthii,Bacteroides eggerthii DSM20697,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides eggerthii,DSM20697,4197635,44.2,Bacteroides_eggerthii_DSM20697,Type Strain,DSM20697
Bacteroides_faecis,Bacteroides faecis MAJ27,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides faecis,MAJ27,5959374,42.4,Bacteroides_faecis_MAJ27,Type Strain,MAJ27
Bacteroides_finegoldii,Bacteroides finegoldii DSM17565,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii,DSM17565,4892401,42.8,Bacteroides_finegoldii_DSM17565,Type Strain,DSM17565
Bacteroides_fragilis,Bacteroides fragilis NCTC9343,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,NCTC9343,5241700,43.1,Bacteroides_fragilis_NCTC9343,Type Strain,NCTC9343
Bacteroides_intestinalis,Bacteroides intestinalis DSM17393,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides intestinalis,DSM17393,6052596,42.8,Bacteroides_intestinalis_DSM17393,Type Strain,DSM17393
Bacteroides_nordii,Bacteroides nordii FDAARGOS-1461,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides nordii,FDAARGOS_1461,5678582,40.6,Bacteroides_nordii_FDAARGOS-1461,Type Strain,FDAARGOS_1461
Bacteroides_ovatus,Bacteroides ovatus ATCC8483,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,ATCC8483,6472489,41.9,Bacteroides_ovatus_ATCC8483,Type Strain,ATCC8483
Bacteroides_salyersiae,Bacteroides salyersiae WAL10018,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae,WAL10018,5315450,41.9,Bacteroides_salyersiae_WAL10018,Type Strain,WAL10018
Bacteroides_stercoris,Bacteroides stercoris ATCC43183,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,ATCC43183,4009829,45.8,Bacteroides_stercoris_ATCC43183,Type Strain,ATCC43183
Bacteroides_thetaiotaomicron,Bacteroides thetaiotaomicron VPI-5482,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,VPI_5482,6293399,42.9,Bacteroides_thetaiotaomicron_VPI-5482,Type Strain,VPI_5482
Bacteroides_uniformis,Bacteroides uniformis ATCC8492,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,ATCC8492,4719097,46.4,Bacteroides_uniformis_ATCC8492,Type Strain,ATCC8492
Bacteroides_xylanisolvens,Bacteroides xylanisolvens XB1A,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens,XB1A,5976145,40.7,Bacteroides_xylanisolvens_XB1A,Type Strain,XB1A
Butyricimonas_paravirosa,Butyricimonas paravirosa DSM105722,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,Butyricimonas paravirosa,DSM105722,5531556,42.8,Butyricimonas_paravirosa_DSM105722,Type Strain,DSM105722
Butyricimonas_synergistica,Butyricimonas synergistica DSM23225,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,Butyricimonas synergistica,DSM23225,4770838,44.8,Butyricimonas_synergistica_DSM23225,Type Strain,DSM23225
Odoribacter_splanchnicus,Odoribacter splanchnicus DSM20712,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,Odoribacter splanchnicus,DSM20712,4392288,43.4,Odoribacter_splanchnicus_DSM20712,Type Strain,DSM20712
Parabacteroides_distasonis,Parabacteroides distasonis ATCC8503,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,ATCC8503,4811379,45.1,Parabacteroides_distasonis_ATCC8503,Type Strain,ATCC8503
Parabacteroides_johnsonii,Parabacteroides johnsonii DSM18315,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides johnsonii,DSM18315,4787097,43.6,Parabacteroides_johnsonii_DSM18315,Type Strain,DSM18315
Parabacteroides_merdae,Parabacteroides merdae ATCC43184,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,ATCC43184,4433601,45.3,Parabacteroides_merdae_ATCC43184,Type Strain,ATCC43184
