msk_id,species,type,CBM,CE,GH,GT,PL,AA
Alistipes_communis,Alistipes communis,Type Strain,1,3,31,11,0,0
DFI.6.39,Alistipes communis,Biobank,1,3,24,12,0,0
Alistipes_finegoldii,Alistipes finegoldii,Type Strain,2,5,40,15,0,0
DFI.1.269,Alistipes finegoldii,Biobank,2,5,35,14,0,0
DFI.2.31,Alistipes finegoldii,Biobank,2,5,38,14,0,0
DFI.6.32,Alistipes finegoldii,Biobank,2,5,40,16,0,0
Alistipes_onderdonkii,Alistipes onderdonkii,Type Strain,1,5,49,13,0,0
DFI.2.11,Alistipes onderdonkii,Biobank,1,5,50,13,0,0
DFI.3.140,Alistipes onderdonkii,Biobank,1,5,51,13,0,0
DFI.5.4,Alistipes onderdonkii,Biobank,1,5,47,14,0,0
DFI.6.22,Alistipes onderdonkii,Biobank,1,5,44,13,0,0
DFI.9.26,Alistipes onderdonkii,Biobank,1,5,47,13,0,0
Alistipes_putredinis,Alistipes putredinis,Type Strain,1,2,8,11,0,0
DFI.5.5,Alistipes putredinis,Biobank,1,2,8,10,0,0
DFI.6.89,Alistipes putredinis,Biobank,1,2,8,10,0,0
Alistipes_shahii,Alistipes shahii,Type Strain,0,7,35,14,9,0
DFI.3.10,Alistipes shahii,Biobank,0,7,37,14,5,0
DFI.6.6,Alistipes shahii,Biobank,1,7,32,13,4,0
Bacteroides_caccae,Bacteroides caccae,Type Strain,3,7,55,21,11,0
DFI.3.21,Bacteroides caccae,Biobank,4,7,55,19,11,0
DFI.6.12,Bacteroides caccae,Biobank,4,7,56,18,11,0
MSK.18.73,Bacteroides caccae,Biobank,2,7,57,20,11,0
Bacteroides_cellulosilyticus,Bacteroides cellulosilyticus,Type Strain,4,11,110,16,18,0
DFI.1.153,Bacteroides cellulosilyticus,Biobank,5,11,106,17,19,0
DFI.5.60,Bacteroides cellulosilyticus,Biobank,5,11,105,16,20,0
DFI.9.15,Bacteroides cellulosilyticus,Biobank,4,11,103,14,17,0
MSK.18.67,Bacteroides cellulosilyticus,Biobank,4,11,109,18,16,0
Bacteroides_eggerthii,Bacteroides eggerthii,Type Strain,2,8,65,17,13,0
DFI.5.6,Bacteroides eggerthii,Biobank,3,9,60,17,10,0
MSK.16.27,Bacteroides eggerthii,Biobank,2,8,66,17,11,0
Bacteroides_faecis,Bacteroides faecis,Type Strain,2,10,87,16,15,0
DFI.5.9,Bacteroides faecis,Biobank,2,10,89,16,15,0
Bacteroides_finegoldii,Bacteroides finegoldii,Type Strain,1,9,72,17,15,0
DFI.6.73,Bacteroides finegoldii,Biobank,4,9,78,17,18,0
Bacteroides_fragilis,Bacteroides fragilis,Type Strain,3,5,66,16,4,0
DFI.5.35,Bacteroides fragilis,Biobank,3,5,66,18,3,0
DFI.6.90,Bacteroides fragilis,Biobank,3,5,64,17,3,0
MSK.10.5,Bacteroides fragilis,Biobank,5,5,61,18,3,0
MSK.13.23,Bacteroides fragilis,Biobank,4,5,61,17,3,0
MSK.16.53,Bacteroides fragilis,Biobank,3,5,66,16,3,0
MSK.22.78,Bacteroides fragilis,Biobank,3,5,67,16,3,0
MSK.7.6,Bacteroides fragilis,Biobank,3,5,68,17,3,0
Bacteroides_intestinalis,Bacteroides intestinalis,Type Strain,5,10,99,16,20,0
DFI.6.36,Bacteroides intestinalis,Biobank,5,10,93,16,20,0
Bacteroides_nordii,Bacteroides nordii,Type Strain,4,9,73,15,16,0
DFI.5.8,Bacteroides nordii,Biobank,4,9,67,17,16,0
DFI.9.47,Bacteroides nordii,Biobank,4,9,69,15,15,0
Bacteroides_ovatus,Bacteroides ovatus,Type Strain,1,10,98,20,17,0
MSK.16.13,Bacteroides ovatus,Biobank,4,9,95,19,21,0
MSK.17.76,Bacteroides ovatus,Biobank,2,10,92,20,17,0
MSK.18.83,Bacteroides ovatus,Biobank,2,11,103,19,17,0
MSK.22.29,Bacteroides ovatus,Biobank,2,11,97,20,17,0
Bacteroides_salyersiae,Bacteroides salyersiae,Type Strain,4,9,76,17,9,0
DFI.4.65,Bacteroides salyersiae,Biobank,4,8,77,17,11,0
Bacteroides_stercoris,Bacteroides stercoris,Type Strain,1,8,43,16,14,0
MSK.14.55,Bacteroides stercoris,Biobank,1,9,47,15,12,0
MSK.17.12,Bacteroides stercoris,Biobank,1,9,39,16,15,0
MSK.18.9,Bacteroides stercoris,Biobank,1,9,47,16,14,0
MSK.20.72,Bacteroides stercoris,Biobank,1,9,47,16,14,0
Bacteroides_thetaiotaomicron,Bacteroides thetaiotaomicron,Type Strain,2,11,90,16,17,0
DFI.1.148,Bacteroides thetaiotaomicron,Biobank,2,11,91,16,16,0
DFI.2.13,Bacteroides thetaiotaomicron,Biobank,2,11,89,15,17,0
DFI.2.27,Bacteroides thetaiotaomicron,Biobank,2,11,91,16,16,0
DFI.3.6,Bacteroides thetaiotaomicron,Biobank,2,11,90,16,17,0
DFI.3.60B,Bacteroides thetaiotaomicron,Biobank,2,11,90,15,16,0
DFI.4.151,Bacteroides thetaiotaomicron,Biobank,2,11,89,16,17,0
DFI.6.98,Bacteroides thetaiotaomicron,Biobank,2,11,91,14,17,0
MSK.14.51,Bacteroides thetaiotaomicron,Biobank,2,11,90,17,17,0
MSK.16.60,Bacteroides thetaiotaomicron,Biobank,3,10,91,17,17,0
MSK.18.2,Bacteroides thetaiotaomicron,Biobank,2,11,89,15,17,0
MSK.20.82,Bacteroides thetaiotaomicron,Biobank,2,11,87,15,17,0
MSK.23.45,Bacteroides thetaiotaomicron,Biobank,2,11,90,16,16,0
Bacteroides_uniformis,Bacteroides uniformis,Type Strain,3,6,82,18,6,0
DFI.1.121,Bacteroides uniformis,Biobank,2,7,77,18,3,0
DFI.3.57,Bacteroides uniformis,Biobank,2,5,75,18,9,0
DFI.4.120,Bacteroides uniformis,Biobank,2,5,88,17,4,0
DFI.5.36,Bacteroides uniformis,Biobank,3,5,77,19,6,0
DFI.6.25,Bacteroides uniformis,Biobank,2,7,74,17,4,0
DFI.6.83,Bacteroides uniformis,Biobank,1,6,90,17,7,0
MSK.16.31,Bacteroides uniformis,Biobank,2,5,74,18,8,0
MSK.17.15,Bacteroides uniformis,Biobank,2,6,70,16,3,0
MSK.18.89,Bacteroides uniformis,Biobank,3,6,82,18,6,0
MSK.19.63,Bacteroides uniformis,Biobank,2,5,78,17,9,0
MSK.20.30,Bacteroides uniformis,Biobank,2,6,80,19,6,0
MSK.20.32,Bacteroides uniformis,Biobank,2,6,81,17,10,0
Bacteroides_xylanisolvens,Bacteroides xylanisolvens,Type Strain,2,9,89,19,16,0
DFI.5.11,Bacteroides xylanisolvens,Biobank,2,9,88,17,18,0
DFI.6.13,Bacteroides xylanisolvens,Biobank,3,9,95,14,20,0
MSK.17.2,Bacteroides xylanisolvens,Biobank,4,8,90,17,19,0
MSK.19.24,Bacteroides xylanisolvens,Biobank,2,9,94,15,19,0
